Super Strategy Results,as on,19.06.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stock,ListGroup,RunStartDate,RunEndDate,NumCandles,EntryPrice,ExitPrice,GainPct,CurrentPrice,Target,% Down from Buy,Signal,Market Cap (Cr)
KFINTECH,Good200,18-Dec-2024,20-Dec-2024,3,1220.33,1468.57,20.34,915.35,1468.57,-24.99,BUY,15819.78
KFINTECH,Good200,19-Mar-2025,24-Mar-2025,4,934.34,1162.62,24.43,915.35,1162.62,-2.03,BUY,15819.78
KFINTECH,Good200,26-Aug-2024,27-Aug-2024,2,969.56,1181.09,21.82,915.35,1181.09,-5.59,BUY,15819.78
KPITTECH,Good200,29-Jan-2025,30-Jan-2025,2,1212.35,1465.83,20.91,760.05,1465.83,-37.31,BUY,20690.63
MGL,Good200,24-Jun-2024,01-Jul-2024,6,1398.31,1682.91,20.35,1209,1682.91,-13.54,BUY,11942.23
NEWGEN,Good200,07-Apr-2025,08-Apr-2025,2,754.5,919.25,21.83,481.95,919.25,-36.12,BUY,6803.18
NEWGEN,Good200,20-May-2025,20-May-2025,1,1130.46,1370.44,21.23,481.95,1370.44,-57.37,BUY,6803.18
NEWGEN,Good200,23-Apr-2025,24-Apr-2025,2,947.36,1177.63,24.31,481.95,1177.63,-49.13,BUY,6803.18
POLYMED,Good200,07-Apr-2025,22-Apr-2025,9,1931.11,2482.14,28.53,1563.3,2482.14,-19.05,BUY,15864.29
POLYMED,Good200,30-Oct-2024,01-Nov-2024,3,2560.05,3351.91,30.93,1563.3,3351.91,-38.93,BUY,15864.29
RAILTEL,Good200,20-Jun-2024,24-Jun-2024,3,412.56,503.68,22.08,319.4,503.68,-22.58,BUY,10250.77
RAJESHEXPO,Good45,18-Feb-2025,21-Feb-2025,4,157.03,189,20.36,97.51,189,-37.9,BUY,2879.08
RAJESHEXPO,Good45,19-Dec-2025,22-Dec-2025,2,187.72,237.88,26.72,97.51,237.88,-48.06,BUY,2879.08
RAJESHEXPO,Good45,19-Mar-2025,24-Mar-2025,4,155.1,218.9,41.13,97.51,218.9,-37.13,BUY,2879.08
